ID1,ID2,EdgeType,Score,Annotation
271,289,MS1 annotation,0,[M+H]+ [M+Na]+ dm/z=21.981567088895417
273,346,MS1 annotation,0,[M+H]+ [M+Na]+ dm/z=21.981300236438813
276,381,MS1 annotation,6,[M+2Na]2+ [M+2H]2+ dm/z=21.989501900832124
276,591,MS1 annotation,5,[M+2Na]2+ [M+2H]2+ dm/z=22.009919203291474
276,1223,MS1 annotation,4,[M+2Na]2+ [M+2Na]2+ dm/z=22.01268149646387
277,1252,MS1 annotation,0,[M+2H]2+ [M+2Na]2+ dm/z=22.037775470520955
279,364,MS1 annotation,2,[M+H]+ [M+H]+ dm/z=21.982167899483102
279,619,MS1 annotation,2,[M+H]+ [M+H]+ dm/z=18.009866192904099
282,499,MS1 annotation,1,[M-H-O]+ [M+H]+ dm/z=18.008763889780255
284,818,MS1 annotation,0,[M+H]+ [M+Na]+ dm/z=21.999661771304773
287,300,MS1 annotation,0,[M+H]+ [M+Na]+ dm/z=21.983032658831974
288,303,MS1 annotation,4,[M+2H]2+ [M+H+Na]2+ dm/z=22.010644946391039
295,318,MS1 annotation,0,[M+H]+ [M+Na]+ dm/z=21.983318389465239
303,446,MS1 annotation,4,[M+H+Na]2+ [M+H+Na]2+ dm/z=11.005464217346798
303,706,MS1 annotation,3,[M+H+Na]2+ [M+2H]2+ dm/z=8.523600705099966
304,386,MS1 annotation,2,[M+5H+N]2+ [M+H]+ dm/z=423.282118352684449
304,678,MS1 annotation,2,[M+5H+N]2+ [M+H]+ dm/z=423.266041148148418
307,405,MS1 annotation,0,[M+3H]3+ [M+3H]3+ dm/z=13.023362934919078
310,317,MS1 annotation,1,[M+2H]2+ [M+2H]2+ dm/z=22.005180739558
311,465,MS1 annotation,1,[M+2H]2+ [M+2Na]2+ dm/z=21.995673151289452
312,519,MS1 annotation,11,[M+2Na]2+ [M+2H]2+ dm/z=22.007531288471625
313,504,MS1 annotation,1,[M+2H]2+ [M+2H]2+ dm/z=22.002360923220976
313,533,MS1 annotation,1,[M+2H]2+ [M+2H]2+ dm/z=22.000219552411181
316,378,MS1 annotation,3,[M+2H]2+ [M+2H]2+ dm/z=22.015686469376078
316,381,MS1 annotation,5,[M+2H]2+ [M+2H]2+ dm/z=22.003068011045457
319,396,MS1 annotation,2,[M+H]+ [M+H]+ dm/z=18.011072505125242
319,453,MS1 annotation,2,[M+H]+ [M-3H-2O]+ dm/z=36.021594428147637
323,675,MS1 annotation,1,[M+2H]2+ [M+H]+ dm/z=489.334592024525364
325,415,MS1 annotation,3,[M+H]+ [M+5H+N]2+ dm/z=473.25606984497955
329,626,MS1 annotation,0,[M+H]+ [M+H]+ dm/z=35.955761975962901
334,335,MS1 annotation,0,[M+Na]+ [M+H]+ dm/z=21.98188009033322
336,762,MS1 annotation,0,[M+H]+ [M+H]+ dm/z=21.977398276657823
339,574,MS1 annotation,0,[M+H]+ [M+H]+ dm/z=21.983069372723719
343,349,MS1 annotation,0,[M+Na]+ [M+H]+ dm/z=21.981072562718737
344,567,MS1 annotation,0,[M+H]+ [M+Na]+ dm/z=21.98203115716376
351,490,MS1 annotation,0,[M+H]+ [M+H]+ dm/z=22.002526035056235
352,697,MS1 annotation,0,[M+H]+ [M+5H+N]2+ dm/z=467.331172272094705
354,426,MS1 annotation,0,[M+3H]3+ [M+3H]3+ dm/z=13.023247695713053
355,654,MS1 annotation,0,[M+H]+ [M-H-O]+ dm/z=18.022460862075206
357,601,MS1 annotation,0,[M+H]+ [M+H]+ dm/z=18.008499034840156
363,869,MS1 annotation,2,[M+4H+N]+ [M+H]+ dm/z=17.027760944261672
364,619,MS1 annotation,2,[M+H]+ [M+H]+ dm/z=39.9920340923872
367,385,MS1 annotation,1,[M+2H]2+ [M+2H]2+ dm/z=22.010840189677083
371,594,MS1 annotation,1,[M+2H]2+ [M+2Na]2+ dm/z=21.972349597339871
390,475,MS1 annotation,0,[M+H]+ [M+H]+ dm/z=18.011983852814637
391,435,MS1 annotation,1,[M-H-O]+ [M+Na]+ dm/z=18.01410640202181
393,515,MS1 annotation,1,[M+Na]+ [M+Na]+ dm/z=21.986011459237943
393,540,MS1 annotation,1,[M+Na]+ [M+H]+ dm/z=21.983860570422621
